DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2015-Q1,65713,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2015-Q2,66168,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2015-Q3,66765,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2015-Q4,67402,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2016-Q1,68027,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2016-Q2,68682,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2016-Q3,69181,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2016-Q4,69710,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2017-Q1,70214,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2017-Q2,70718,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2017-Q3,71101,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2017-Q4,71500,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2018-Q1,71902,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2018-Q2,72285,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2018-Q3,73220,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2018-Q4,74181,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2019-Q1,75118,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2019-Q2,76058,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2019-Q3,76278,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2019-Q4,76666,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2020-Q1,77058,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2020-Q2,77332,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2020-Q3,79144,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2020-Q4,80983,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q1,82787,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q2,84597,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q3,85683,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q4,86837,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2022-Q1,87967,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2022-Q2,89067,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2015-Q1,118489,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2015-Q2,118286,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2015-Q3,119254,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2015-Q4,120267,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q1,121282,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q2,122310,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q3,123023,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q4,123737,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q1,124360,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q2,125008,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q3,125250,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q4,125519,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q1,125768,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q2,126026,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q3,126960,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q4,128008,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q1,128939,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q2,130013,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q3,130854,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q4,131994,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q1,132929,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q2,133403,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q3,134079,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q4,134767,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q1,135311,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q2,136028,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q3,136517,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q4,137240,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2022-Q1,137874,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2022-Q2,138581,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2015-Q1,299305,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2015-Q2,297678,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2015-Q3,298353,PSNS: Persons,,
